="É^ÉCÉgÉãÅFéËîzïKóvêîàÍóó"

="É_ÉEÉìÉçÅ[Éhì˙éûÅF2024/02/29 17:52:18"

="ëŒè€îNåéÅFÅÉ2023îN10åéÅÑÅGíSìñçHèÍÅFÅÉëÊÇPÅÑÅGåvéZãÊï™ÅFÅÉ 6éüïœçX 2023/10/18 10:51:28ÅÑÅGéËîzãÊï™ÅFÅÉédì¸êÊéËîzÅFéwíËÇ†ÇËÅGédì¸êÊíºëóÅFéwíËÇ†ÇËÅGédì¸êÊéxããÅFéwíËÇ»ÇµÅGëºçHèÍéËîzÅFéwíËÇ»ÇµÅGéÛããéËîzÅFéwíËÇ»ÇµÅGÅÑ;êÆîıé∫å¿íËÅFÅÉ1YÅFëÊÇPçHèÍÅÑÅGïiî‘éwíËÅFÅÉÅÑÅGédì¸êÊéwíËÅFÅÉÅÑÅGédì¸êÊçHèÍãÊï™ÅFÅÉÅÑÅGç∑ï™ï\é¶éwé¶ÅFÅÉñ≥ÇµÅÑÅG"

="åüçıåèêîÅFÅÉ  530ÅÑÅG"
="IX000 èàóùÇ™ê≥èÌÇ…äÆóπÇµÇ‹ÇµÇΩÅG"

="ïiî‘",="â¡çHê}ïÑçÜ",="ê›ïœïÑçÜ",="ïiñº",="ÉXÉeÅ[É^ÉX",="î≠íçãÊï™",="êÆîıé∫",="êÆîıé∫ñº",="éËîzãÊï™",="çHíˆì‡äOêª",="çHíˆÉRÅ[Éh",="édì¸êÊñº/çHèÍñº",="î≠ëóèÍèä",="î≠ëóèÍèäñº",="éÛãããÊï™",="å„çHíˆì‡äOêª",="å„çHíˆÉRÅ[Éh",="å„çHíˆédì¸êÊñº/çHèÍñº",="éÛì¸èÍèä",="éÛì¸èÍèäñº",="î†éÌóﬁ","é˚óeêî","äÓèÄç›å…ì˙êî","äÓèÄç›å…ñáêî","ÉTÉCÉNÉãä‘äu",="ÉTÉCÉNÉãâÒêî","ÉTÉCÉNÉãèÓïÒ",="çXêV",="çXêVé“",="ç≈èIçXêVì˙éû",="É}ÉCÉiÉXïKóvêîóLñ≥","ìñåéïKóvêî",="ìñåéâ“ì≠ì˙êî","óÇåéïKóvêî",="óÇåéâ“ì≠ì˙êî","óÇÅXåéïKóvêî",="óÇÅXåéâ“ì≠ì˙êî","óÇÅXÅXåéïKóvêî",="óÇÅXÅXåéâ“ì≠ì˙êî","1(ì˙)","2(åé)","3(âŒ)","4(êÖ)","5(ñÿ)","6(ã‡)","7(ìy)","8(ì˙)","9(åé)","10(âŒ)","11(êÖ)","12(ñÿ)","13(ã‡)","14(ìy)","15(ì˙)","16(åé)","17(âŒ)","18(êÖ)","19(ñÿ)","20(ã‡)","21(ìy)","22(ì˙)","23(åé)","24(âŒ)","25(êÖ)","26(ñÿ)","27(ã‡)","28(ìy)","29(ì˙)","30(åé)","31(âŒ)","ìñåéåvéZêî","óÇåéåvéZêî","óÇÅXåéåvéZêî","óÇÅXÅXåéåvéZêî","1(ì˙)","2(åé)","3(âŒ)","4(êÖ)","5(ñÿ)","6(ã‡)","7(ìy)","8(ì˙)","9(åé)","10(âŒ)","11(êÖ)","12(ñÿ)","13(ã‡)","14(ìy)","15(ì˙)","16(åé)","17(âŒ)","18(êÖ)","19(ñÿ)","20(ã‡)","21(ìy)","22(ì˙)","23(åé)","24(âŒ)","25(êÖ)","26(ñÿ)","27(ã‡)","28(ìy)","29(ì˙)","30(åé)","31(âŒ)"
="90564-51A086",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","      1,023",="22.0","      1,037",="22.0","        919",="20.0","        783",="18.0","          0","         39","         47","         44","         47","         47","          0","          0","         40","         48","         40","         48","         46","          0","          0","         49","         47","         45","         47","         45","          0","          0","         49","         48","         47","         49","         49","          0","          0","         51","         51","      1,011","      1,036","        918","        782","          0","         38","         46","         43","         46","         46","          0","          0","         39","         47","         39","         47","         45","          0","          0","         48","         46","         44","         46","         44","          0","          0","         48","         47","         46","         48","         49","          0","          0","         50","         50"
="90564-51A087",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","        310",="22.0","        307",="22.0","        272",="20.0","        232",="18.0","          0","         12","         14","         13","         14","         14","          0","          0","         12","         15","         12","         15","         14","          0","          0","         15","         14","         14","         14","         14","          0","          0","         15","         15","         14","         15","         15","          0","          0","         15","         15","        299","        306","        271","        231","          0","         11","         13","         12","         13","         13","          0","          0","         11","         14","         11","         14","         13","          0","          0","         14","         13","         13","         13","         13","          0","          0","         14","         14","         13","         14","         14","          0","          0","         14","         14"
="90564-51A088",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","        107",="22.0","        100",="22.0","         89",="20.0","         76",="18.0","          0","          4","          5","          5","          5","          5","          0","          0","          4","          5","          4","          5","          5","          0","          0","          5","          5","          5","          5","          5","          0","          0","          5","          5","          5","          5","          5","          0","          0","          5","          5","         97","         99","         88","         75","          0","          3","          4","          4","          4","          4","          0","          0","          3","          4","          3","          4","          4","          0","          0","          4","          4","          4","          4","          4","          0","          0","          4","          4","          4","          4","          4","          0","          0","          4","          4"
="90564-51A089",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-51A090",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","         22",="22.0","         17",="22.0","         15",="20.0","         13",="18.0","          0","          1","          1","          1","          1","          1","          0","          0","          1","          1","          1","          1","          1","          0","          0","          1","          1","          1","          1","          1","          0","          0","          1","          1","          1","          1","          1","          0","          0","          1","          1","         16","         16","         14","         12","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-51A091",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-51A092",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-51A093",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-51A094",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-51A095",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-51A096",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-51A097",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-51A098",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-51A099",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-51A100",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-51A101",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-51A102",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-51A103",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-51A104",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-51A105",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-51A106",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-51A107",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-51A108",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-51A109",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-51A110",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
="90564-51A111",="",="",="SHIM",="égópíÜ",="Ç©ÇÒÇŒÇÒ",="1Y",="ëÊÇPçHèÍ",="éËîz",="Ço",="6454",="ÅiäîÅjÉÄÉçÉRÅ[É|ÉåÅ[ÉVÉáÉì",="01",="",="Å\Å\",="Çl",="01",="ëÊÇP",="1Y",="à¿èÈëÊÇPçHèÍ",="TP-131  ›÷≥","      100","  0.93"," 3.0","1",="01","  0.73",="",="",="",="","          0",="22.0","          0",="22.0","          0",="20.0","          0",="18.0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0","          0"
